title,description,source,published,sector,sentiment,sentiment_confidence,impact_score,valence,arousal,geopolitical_risk,affected_companies,one_line_insight,sentiment_num,weighted_risk_score,z_score,shock_status,run_date
IPO bound Coal India arm CMPDIL garners Rs 470 crore from anchor investors,"Central Mine Planning and Design Institute (CMPDIL) has raised Rs 470 crore from anchor investors, including LIC and several mutual funds, ahead of its Rs 1,842-crore IPO. The initial share sale, an offer for sale by Coal India, opens for public subscription on March 20 with a price band of Rs 163-Rs 172 per share.",Markets-Economic Times,"Wed, 18 Mar 2026 21:56:18 +0530",Energy,positive,0.85,7,0.8,0.6,False,"['Coal India', 'LIC']",CMPDIL's successful anchor investment signals strong market confidence ahead of its IPO.,1,0.0,0.0,Normal,2026-03-18
"Crypto exchange Kraken freezes IPO plans, CoinDesk reports","Cryptocurrency exchange ​Kraken ​has put its multibillion-dollar ​initial public offering plan on hold, CoinDesk reported on ‌Wednesday, ⁠citing ⁠two people with knowledge ​of the matter",Markets-Economic Times,"Wed, 18 Mar 2026 21:40:34 +0530",Fintech,negative,0.85,7,0.2,0.6,False,['Kraken'],Kraken's IPO freeze signals potential volatility in the fintech sector.,-1,84.0,0.0,Normal,2026-03-18
US Stocks: Microsoft considers legal action over $50 billion Amazon-OpenAI cloud deal: Report,"Microsoft is considering legal action ​against its partner OpenAI and ​Amazon over a $50 billion deal that could violate its ​exclusive cloud agreement with the ChatGPT maker, the Financial Times reported on Wednesday.",Markets-Economic Times,"Wed, 18 Mar 2026 21:30:09 +0530",IT,negative,0.85,7,0.2,0.7,False,"['Microsoft', 'Amazon']",Legal disputes in the tech sector could signal volatility for major players.,-1,84.0,0.0,Normal,2026-03-18
Ahead of Market: 10 things that will decide stock market action on Thursday,"Indian markets rallied for a third day, led by auto, IT and financial stocks, while easing volatility supported sentiment. Technical indicators signal bullish momentum, with analysts projecting further upside amid global mixed cues and advising cautious, stock-specific strategies.",Markets-Economic Times,"Wed, 18 Mar 2026 21:26:45 +0530",Other,neutral,0.5,5,0.5,0.5,False,[],Classification unavailable.,0,0.0,-1.37,Normal,2026-03-18
Market Trading Guide: Buy BSE and Atlanta Electricals on Thursday for gains up to 13%,"Nifty rose sharply for a third session, driven by auto, IT and consumer stocks. Technical indicators signal bullish momentum, with analysts projecting upside towards 24,250 and support at 23,500, alongside breakout patterns strengthening sentiment.",Markets-Economic Times,"Wed, 18 Mar 2026 21:05:00 +0530",Other,neutral,0.5,5,0.5,0.5,False,[],Classification unavailable.,0,0.0,-1.37,Normal,2026-03-18
BEW Engineering bulk deal: Ashish Kacholia exits SME company as stock slumps 44% in a year,"Ace investor Ashish Kacholia exited BEW Engineering entirely through a bulk deal, amid prolonged stock underperformance and declining prices, raising concerns about the company’s near-term outlook despite its niche presence in pharmaceutical equipment manufacturing and past listing gains.",Markets-Economic Times,"Wed, 18 Mar 2026 20:44:03 +0530",Manufacturing,negative,0.85,7,0.1,0.8,False,['BEW Engineering'],The exit of a prominent investor from BEW Engineering signals significant concerns over its future performance.,-1,77.0,0.58,Normal,2026-03-18
"US Federal Reserve expected to hold rates, weigh oil shock","Investors await Powell’s signals as the Federal Reserve weighs rates steady amid US-Israeli strikes on Iran, balancing persistent inflation against slowing growth risks, with new projections and policy language expected to reflect geopolitical uncertainty, labor market shifts, and rate cuts.",Markets-Economic Times,"Wed, 18 Mar 2026 20:09:07 +0530",Geopolitics,neutral,0.7,6,0.5,0.4,True,[],Monitor geopolitical developments as they may influence market stability and investor sentiment.,0,0.0,-0.71,Normal,2026-03-18
"US Stocks: Macy's forecasts weak 2026, says tariff hit to ease later this year","Macy's said ​it was taking a ""prudent approach"" to its outlook, as it ​forecast a fall in annual revenue and profit, citing macroeconomic and geopolitical risks that could affect consumer spending.",Markets-Economic Times,"Wed, 18 Mar 2026 19:31:29 +0530",Retail,negative,0.85,6,0.2,0.7,True,"[""Macy's""]",Macy's cautious outlook signals potential challenges for consumer spending in the retail sector.,-1,72.0,0.0,Normal,2026-03-18
Claude Dispatch: Anthropic rolls out task delegation feature for Claude across devices in Cowork preview,"Using the new feature, users can get summaries or reports based on data stored in local spreadsheets, search through Slack messages or email and generate briefing notes, and create formatted presentations using files stored in the cloud, among others.",Tech-Economic Times,"Wed, 18 Mar 2026 22:33:48 +0530",IT,positive,0.85,7,0.8,0.6,False,['Anthropic'],"The new task delegation feature by Anthropic enhances productivity tools, signaling a positive shift in the IT sector.",1,0.0,0.0,Normal,2026-03-18
Belgium's imec secures rare ASML High NA EUV tool to drive next-generation chips,Belgian chip research lab imec has acquired a state-of-the-art ASML High NA EUV lithography machine. This advanced tool will be central to imec's new pilot line.  Companies like Intel and SK Hynix plan to use similar machines for new AI chips by 2027.  This acquisition strengthens Europe's role in global semiconductor manufacturing.,Tech-Economic Times,"Wed, 18 Mar 2026 22:01:45 +0530",IT,positive,0.85,7,0.8,0.6,False,"['Intel', 'SK Hynix']",The acquisition of advanced lithography technology by imec positions Europe as a key player in the next generation of AI chip development.,1,0.0,0.0,Normal,2026-03-18
